_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_PeriodAmp,_Zero-crossingrate_Mean,_Fluctuation_Mean,_Eventdensity_Mean,_HarmonicChangeDetectionFunction_Mean,_EntropyofSpectrum_Mean,_Pulseclarity_Mean,_Brightness_Mean,_AttackTime_Mean,_MFCC_Mean_1,_Rolloff_Mean,_MFCC_Mean_7,_Chromagram_Mean_6,_MFCC_Mean_3,_Spectralskewness_Mean,_Roughness_Mean,_Tempo_Mean,_Chromagram_Mean_7,_MFCC_Mean_6,_Chromagram_Mean_12,_Chromagram_Mean_1,_Chromagram_Mean_3,_HarmonicChangeDetectionFunction_Slope,_MFCC_Mean_9,emotion,source
0.7178571428571429,0.16666666666666652,0.08459096916806436,0.27926614727318416,0.1427831044311998,0.5425531914893618,0.326732673267327,0.08402366863905326,0.17543859649122806,0.11612903225806452,0.6476291203948528,0.09015156272669987,0.5209024552090246,0.038,0.7050561797752809,0.4328198258539852,0.012978255951797758,0.5571615488408226,0.024,0.6029154518950437,0.101,0.496,0.047,0.4167812929848693,0.6465517241379309,relax,turkish
0.5392857142857141,0.45502645502645467,0.018475082018278313,0.15581804473485794,0.1427831044311998,0.4601063829787233,0.12376237623762387,0.047337278106508875,0.09356725146198831,0.03225806451612902,0.6583818085668958,0.02767271745697522,0.3536828135368281,0.0,0.6641252006420546,0.5015405224380443,0.08615185900865524,0.6402802197053332,0.12,1.0,0.984,0.0,0.137,0.2792297111416781,0.48620689655172405,relax,turkish
0.8535714285714285,0.4285714285714284,0.17875565673487043,0.3517466700175923,0.1427831044311998,0.800531914893617,0.7772277227722775,0.3408284023668639,0.6476608187134503,0.14838709677419354,0.43222280980081085,0.9313024290126103,0.457863304578633,0.001,0.550561797752809,0.06858673811118554,0.009983056785672696,0.9531695083888729,0.563,0.6157434402332361,1.0,0.412,0.526,0.5763411279229711,0.4387931034482758,relax,turkish
0.7321428571428571,0.5634920634920633,0.14353207042249294,0.3449107816034179,0.24242031614407877,0.824468085106383,0.4950495049504946,0.1301775147928994,0.38888888888888895,0.12258064516129034,0.4438568658558083,0.551578657182694,0.6522893165228931,0.002,0.5947030497592296,0.1740120562625586,0.09048769064963351,0.12066756620463126,0.276,0.6174927113702624,0.757,0.307,0.281,0.44979367262723524,0.5508620689655171,relax,turkish
0.7178571428571429,0.38095238095238093,0.09373145896651466,0.3110831867303342,0.14718839077481213,0.6196808510638298,0.44554455445544505,0.2331360946745562,0.33040935672514626,0.19354838709677424,0.510135730653975,0.22984542064995428,0.690112806901128,0.0,0.6757624398073836,0.3146684527796383,0.011783561850426758,0.2767169590165051,0.135,0.7002915451895043,0.001,0.091,0.022,0.5144429160935351,0.3327586206896551,relax,turkish
0.6428571428571428,0.3492063492063491,0.2169224627528459,0.20527770796682576,0.09095620627105469,0.44680851063829796,0.6138613861386135,0.18106508875739646,0.5614035087719299,0.23870967741935484,0.3507844174158294,0.39595874155587907,0.5295288652952886,0.455,0.49558587479935795,0.2104487608841259,0.06372069498469571,0.4617628218233361,0.0,0.19650145772594757,0.0,0.09,1.0,0.8803301237964236,0.5198275862068965,relax,turkish
0.40714285714285703,0.4259259259259256,0.05811900079275163,0.196179944709726,0.13850738533298781,0.2606382978723404,0.01980198019801982,0.1727810650887574,0.07163742690058479,0.2709677419354839,0.7489864269346025,0.0,0.6974120769741208,0.0,0.7259229534510434,0.5752176825184192,0.08600130395551983,0.600782325441932,0.137,0.6513119533527697,0.143,0.085,0.0,0.657496561210454,0.4594827586206896,relax,turkish
0.7392857142857142,0.4788359788359786,0.1096468569915392,0.17220407137471727,0.23801502980046646,0.675531914893617,0.5742574257425739,0.13254437869822486,0.40204678362573104,0.07096774193548387,0.5591397849462366,0.6781261948450577,0.6197743861977438,0.0,0.459470304975923,0.15244474212993972,0.07500334709274858,0.6327295525480094,0.359,0.8513119533527697,0.746,0.238,0.298,0.3081155433287483,0.543103448275862,relax,turkish
0.5357142857142856,0.7037037037037037,0.08435784615682207,0.16416184971098263,0.19046385073853328,0.5585106382978724,0.17326732673267342,0.17988165680473375,0.15204678362573099,0.07741935483870967,0.6499206768905341,0.06564272201486339,0.49104180491041804,0.159,0.5770465489566613,0.38807769591426655,0.18901891966618325,0.23009090785187608,0.0,0.5172011661807581,0.0,0.563,1.0,0.4346629986244842,0.5801724137931034,relax,turkish
0.9999999999999999,0.2566137566137565,0.22582415988169754,0.2557426489067604,0.13423166623477584,0.7340425531914894,0.6732673267326739,0.250887573964497,0.5190058479532164,0.17419354838709677,0.35166578529878373,0.5187523532062968,0.7186463171864631,0.511,0.5646067415730337,0.1620897521768252,0.05491694336821661,0.3048615938177209,0.0,0.5743440233236151,0.0,0.497,0.085,0.5598349381017882,0.4155172413793103,relax,turkish
